Категория; Имя продукта; Код продукта; Цена, бел.руб 
Прочие расходные материалы и ЗИП; Узел закрепления в сборе HP (RM1-0102) 4300 (O); 58875/995; 2412533.7; 
Батарейки; 3Q QEnerGO! (9V/6LR61-1BL) Krone Super Alkaline (1 шт. в упаковке); 103240/995; 18684.0; 
Прочие расходные материалы и ЗИП; Фотовал HP LJ 2100/2200 Fuji; 19575/995; 85511.7; 
Расходные материалы к факсам; Термопленка CACTUS CS-TTRP52 для факсов Panasonic (KX-FA52) 2 шт.; 85331/995; 46761.3; 
Расходные материалы к факсам; Термопленка CACTUS CS-TTRP55 для факсов Panasonic (KX-FA55) 2 шт.; 85333/995; 46761.3; 
Батарейки; 3Q QEnerGO! (AA/LR06-4BL) Super Alkaline (4 шт. в упаковке); 103238/995; 15878.7; 
Батарейки; 3Q QEnerGO! (AA/LR06-box24) Super Alkaline (24 шт - по 4 шт. в PVC пленке x 6); 103239/995; 85600.8; 
Батарейки; 3Q QEnerGO! (C/LR14-2BL) С Size Super Alkaline (2 шт. в упаковке); 103242/995; 22917.6; 
Батарейки; 3Q QEnerGO! (D/LR20-2BL) D Size Super Alkaline (2 шт. в упаковке); 103241/995; 32859.0; 
Расходные материалы к факсам; Термопленка Panasonic KX-FA57 (для FP343/363/FB423); 11232/995; 122974.2; 
Батарейки; 3Q QEnerGO! (AAA/LR03-box24) Super Alkaline (24 шт - по 4 шт. в PVC пленке x 6); 103236/995; 80082.0; 
Батарейки; 3Q QEnerGO! (AA/LR06-2BL) Super Alkaline (2 шт. в упаковке); 103237/995; 8467.2; 
Микроволновые печи; Микроволновая печь Samsung GE-712MR-S/BWT. 20 л. 750 Вт. гриль. механическое управление. серебряная; 103125/995; 996969.6; 
Батарейки; GP 24AU-CR2 Ultra (ААA/LR03/A286) Alkaline (2 шт. в упаковке); 41614/995; 8829.0; 
Беспроводные маршрутизаторы; ASUS RT-N12 1xWAN. 4xLAN. 802.11n; 74774/995; 383834.7; 
Беспроводные маршрутизаторы; ASUS RT-N13U 1xWAN. 4xLAN. 802.11n. up to 300Mb/c. USB; 71751/995; 428014.8; 
Патч-корды; Патч-корд 5м Floston; 89700/995; 14820.3; 
Патч-корды; Патч-корд 10м Belsis (BW1483); 71265/995; 45260.1; 
Сетевые карты; Intel I350T4BLK Intel® Ethernet Server Adapter I350-T4; 94052/995; 3201368.4; 
Сетевые концентраторы D-Link; D-Link DES-1210-28/B1A Управляемый коммутатор 24x10/100. 2x10/100/1000. 2 combo 1000BASE-T/SFP. 19; 98312/995; 1546376.4; 
Цифровые фоторамки; Фоторамка Espada E-15C 15". USB2.0. 2Gb. Black; 103196/995; 1024474.5; 
Прочее дополнительное оборудование; Intel AXXBASRAIL13 SR1500/1550/2500/2600 Basic slide rail kit (899080); 72705/995; 447344.1; 
Серверные материнские платы Supermicro; SuperMicro aксессуары для X8DAL-i-B (заглушка. диск с драйверами. кабеля); 91016/995; 15003.9; 
Фотобумага для принтеров и плоттеров; Фотобумага Epson (EPPS041256) матовая ярко-белая. A4. 50 листов. 167 г/м2; 79974/995; 140985.9; 
Модули памяти Crucial; Crucial Ballistix Elite <BLE2CP4G3D1608DE1TX0CEU> DDR-III DIMM 8Gb KIT 2*4Gb <PC3-12800>; 133626/1005; 495701.6; 
Картриджи к лазерным принтерам Canon; Canon C-716B для LBP5050 (1980B002) Black; 72343/995; 692585.1; 
Картриджи к лазерным принтерам Canon; Canon C-716C для LBP5050 (1979B002) Cyan; 72342/995; 663468.3; 
Тостеры; Тостер Philips HD2630/50 1000Вт. 2 секции; 103118/995; 467604.9; 
Картриджи к лазерным принтерам HP; HP Q7553A LJP2015 (3000 копий); 36688/995; 807246.0; 
Пароварки; Пароварка Braun FS20. 6.2 л. 2 яруса. непрозрачный пластик/белый; 103105/995; 710229.6; 
Пароварки; Пароварка Moulinex MV1000; 103106/995; 369673.2; 
Пароварки; Пароварка TEFAL VS400331. 10л. 3 яруса. прозрачный пластик; 103107/995; 1465454.7; 
Пароварки; Пароварка TEFAL VS700130. 9.4л. 2 яруса. прозрачный пластик; 103108/995; 1636618.5; 
Соковыжималки; Соковыжималка Bosch MES1020 380 Вт. универсальная. белая; 103110/995; 644060.7; 
Тостеры; Тостер MOULINEX LT120530. серый/красный. 850Вт. 2 секции; 103113/995; 390849.3; 
Картриджи к струйным принтерам HP; CB316HE Photosmart C5383/C6383 (№ 178) черный; 59093/995; 106866.0; 
Картриджи к струйным принтерам HP; CH561HE Deskjet 1050/2050 (№122) черный; 82667/995; 87444.9; 
Картриджи к струйным принтерам HP; CN684HE Photosmart C5383/C6383/D5463 (№ 178XL) черный двойной; 85491/995; 215387.1; 
Прочие расходные материалы и ЗИП; Оптический блок Panasonic KX-FAD412A (для KX-MB2000/MB2020/MB2030); 77727/995; 862866.0; 
Фотобумага для принтеров и плоттеров; Фотобумага Lomond Термотрансфер А4/50 лазерный. для светлых тканей (0807420); 54364/995; 158041.8; 
Картриджи к лазерным принтерам HP; HP Q7583A CLJ3800 пурпурный; 31260/995; 1705617.0; 
Гарнитуры; Гарнитура Plantronics Backbeat 116 (для iPhone. iPod. iPad и mp3 плееров); 85973/995; 200804.4; 
Батарейки; GP 24ARS-2SB4 (ААA/LR03/A286) Alkaline (4 шт. в упаковке); 76058/995; 13086.9; 
Переходники; Переходник USB->COM(RS-232) Espada (U1R232-PL2) Db9/Db25; 103199/995; 211707.0; 
Мыши беспроводные; Microsoft Wireless Explorer Touch Mouse USB (U5K-00015) Sangria Red; 91715/995; 442899.9; 
Карты расширения Secure Digital (SD); 8 Gb Apacer SDHC MicroSD (AP8GMCSH10-R) Class 10. с адаптером SD. Retail; 91076/995; 66641.4; 
Сетевые хранилища NETGEAR; Netgear RNDP6000-200EUS ReadyNAS Pro с 6 слотами (без дисков); 103221/995; 10583476.2; 
Ноутбуки HP; HP Pavilion G6-2200sr | A4 4300M | 15.6" HD | 4 Gb | 320 | DVDRW | WiFi | BT | CAM | W8 | Black (C4W08EA); 103041/995; 4690677.6; 
Ноутбуки HP; HP Pavilion G6-2207sr | A10 4600M | 15.6" HD | 4 Gb | 500 | HD7670 1Gb | DVDRW | WiFi | BT | CAM | W8 | Black (C4W12EA); 103042/995; 6126597.0; 
Ноутбуки HP; HP Pavilion G6-2209sr | A10 4600M | 15.6" HD | 8 Gb | 1Tb | HD7670 1Gb | DVDRW | WiFi | BT | CAM | W8 | Black (C4W13EA); 103043/995; 6729501.6; 
Ноутбуки HP; HP Pavilion G6-2253sr | i3 2370M | 15.6" HD | 6 Gb | 750 | HD7670 1Gb | DVDRW | WiFi | BT | CAM | W8 | Black (C4V62EA); 103044/995; 6605239.5; 
Термопаста; Термоклей Arctic Alumina Adhesive. двухкомпонентный. 5гр (не для процессоров!); 82317/995; 69033.6; 
Миксеры; Миксер MOULINEX HM615130. стационарный PowerMix. 500 Вт. 5 скоростей + турбо; 103140/995; 683761.5; 
Картриджи к струйным принтерам Epson; Epson C13T08024010 Cyan PX660/PX720/PX730/PX820/PX830/P50; 91883/995; 134103.6; 
Цифровые фотокамеры Canon; Canon PowerShot SX50 IS (6352B002); 103171/995; 5160418.2; 
Мясорубки; Мясорубка Braun G 1500 черная. 800Вт. 5 насадок; 103149/995; 1473398.1; 
Картриджи к лазерным принтерам Samsung; Samsung MLT-D103S (для ML-295x/SCX-472x); 91849/995; 707583.6; 
Точки доступа; D-LINK DAP-3340 802.11n. 1x10/100/1000BASE-T. 300Mbps. 2.4GHz; 103172/995; 2738375.1; 
Ноутбуки ASUS; ASUS X53U <90N58Y1-28W165-36013AC> E450/2/320/DVD-RW/WiFi/DOS/15.6"/2.33 кг; 126704/1005; 3109597.5; 
Прочее дополнительное оборудование; Intel AXXVRAIL Value Rail for R1XXX Systems (912796); 93059/995; 507176.1; 
Сетевые концентраторы D-Link; D-Link DES-1008D/K2A 8port 10/100 Fast Ethernet Switch. Metall; 103173/995; 183170.7; 
Использование электросетей (Powerline); Адаптер TP-LINK Powerline Ethernet TL-PA211 Starter Kit. 200 Мбит/с. 2 шт в комплекте; 93224/995; 580813.2; 
Аксессуары для цифровых фотокамер; Аккумулятор Canon LP-E10 для EOS 1100D (5108B002); 93327/995; 409376.7; 
Внешние HDD 500ГБ; 500Gb Seagate Slim Portable 2.5" (STCD500400) USB3.0. Black; 103075/995; 659971.8; 
Картриджи к лазерным принтерам Canon; Canon C-729B для LBP-7010С/7018C () Black; 93590/995; 545246.1; 
Картриджи к лазерным принтерам Canon; Canon C-729Y для LBP-7010С/7018C () Yellow; 93593/995; 516129.3; 
Картриджи к струйным принтерам Epson; Epson C13T10324A10 Cyan TX550W/T40W/TX600FW/T1100; 93632/995; 162162.0; 
Картриджи к лазерным принтерам Canon; Canon C-718C для LBP7200Cdn/MF8330Cdn/8350Cdn (2661B002) Cyan; 93931/995; 1223712.9; 
Картриджи к струйным принтерам Epson; Лента Epson C13S015019BA LX-300+ II; 93621/995; 25145.1; 
Цифровые фоторамки; Фоторамка Espada E-15D 15". USB2.0. 2Gb. Black; 103197/995; 1024474.5; 
Картриджи к лазерным принтерам Samsung; Samsung MLT-D101S (для ML-216x/SCX-340x); 94270/995; 722582.1; 
Клавиатуры проводные; Logitech G105 Gaming Keyboard (920-003457); 94552/995; 532026.9; 
SO DIMM; SO DIMM DDR3 (1333) 8Gb Crucial (CT102464BF1339) Retail; 94546/995; 428014.8; 
Хлебопечи; Хлебопечь MOULINEX OW502430. 16 программ. макс.вес выпечки 1500г. 1650Вт. белая; 103104/995; 1987764.3; 
Картриджи к лазерным принтерам Brother; Brother TN-135С (5000 стр.) HL-4040CN/4050CDN/DCP-9040CN/MFC-9440CN голубой; 93579/995; 1483787.7; 
Коврики для мыши; Коврик для мыши Nova Mobility-pad Notebook <V-MOBILITY-01>; 99979/1005; 51645.1; 
Коврики для мыши; Коврик для мыши Nova Mobility-pad Notebook <V-MOBILITY-02>; 99980/1005; 51645.1; 
Электронные книги; Электронная Книга Prestigio PER5062B SiPix 6'' (800x600). Wi-Fi. 2G. Image. Text. Audio. Black; 785467/3725; 1220856.0; 
WEB-Камеры; Web-камера Logitech Webcam C905 2.0MPx. 1600x1200. USB; 782168/3725; 996308.3; 
WEB-Камеры; Web-камера Logitech Webcam C600 2.0MPx. 1600x1200. USB; 782200/3725; 977690.7; 
WEB-Камеры; Web-камера Logitech Webcam C210 960-000657 1.3MPx. 640x480. USB 2.0; 784507/3725; 204310.1; 
WEB-Камеры; Web-камера Logitech Webcam C170 960-000760 1.3MPx. 640x480. 30Гц. USB; 788506/3725; 181825.4; 
WEB-Камеры; Web-камера Logitech Webcam C110 1.3MPx. 640x480. USB. White; 789066/3725; 177858.5; 
WEB-Камеры; Web-камера A4Tech PK-8MJ 0.3MPx. 640x480. USB; 782591/3725; 246296.4; 
Универсальные пульты ДУ; Универсальный пульт ДУ Logitech Harmony 600 Remote; 784961/3725; 875996.1; 
Универсальные пульты ДУ; Пульт для презентаций Trust Wireless Laser Presenter; 789713/3725; 271035.5; 
Универсальные пульты ДУ; Пульт для презентаций Trust Preme Wireless Laser Presenter; 789712/3725; 327111.8; 
Универсальные пульты ДУ; Пульт для презентаций Logitech Wireless Presenter R400; 785834/3725; 551417.0; 
WEB-Камеры; Web-камера Logitech Webcam HD C310 5MPx. 1280x720. Mic. USB; 784605/3725; 337403.9; 
WEB-Камеры; Web-камера Logitech Webcam HD C525 1.3MPx. 1280x720. 30fps. Mic. USB; 789061/3725; 379580.3; 
WEB-Камеры; Web-камера Philips SPC610NC 0.3Mpx. CMOS. 640x480. USB 1.1; 782336/3725; 277774.4; 
товары без категории или новые; Samsung C3322 Duos TFT 256 тыс. цветов. 2.2'' (240x320). камера 2 Мп. видео 176x144 15fps. Dual Sim. GPRS. EDGE. Bluetooth (A2DP). 1000 mAh (Li-ion). Black. СТБ; 789674/3725; 825930.0; 
товары без категории или новые; Samsung C3350 Xcover 2 TFT 256 тыс. цветов. 2.2'' (240x320). камера 2 Мп. GPRS. EDGE. Bluetooth (A2DP). 1300 mAh (Li-ion). Grey. СТБ; 789662/3725; 1011402.0; 
товары без категории или новые; Samsung E1150 CSTN 65 тыс. цветов. 1.4'' (128x128). 800 mAh (Li-ion). Silver. СТБ; 789521/3725; 338808.8; 
товары без категории или новые; Samsung E1182 Duos TFT 65 тыс. цветов. 1.5'' (128x128). Dual Sim. 1000 mAh (Li-ion). Silver. СТБ; 789654/3725; 368865.0; 
товары без категории или новые; Samsung E2232 Duos TFT 65 тыс. цветов. 1.8'' (128x160). камера 0.3 Мп. Dual Sim. GPRS. Bluetooth (A2DP). 1000 mAh (Li-ion). Black. СТБ; 789648/3725; 504252.0; 
товары без категории или новые; Samsung E2121B CSTN 65 тыс. цветов. 1.5'' (128x128). камера 0.3 Мп. видео 160x120 15fps. GPRS. Bluetooth. 1000 mAh (Li-ion). Black. СТБ; 789651/3725; 450639.0; 
товары без категории или новые; Samsung S3350 TFT 262 тыс. цветов. 2.4'' (320x240). камера 2 Мп. GPRS. EDGE. Wi-Fi. Bluetooth (A2DP). 1000 mAh (Li-ion). Black. СТБ; 789523/3725; 1039311.0; 
